q1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q5.result,q6.result,q7.result,q8.result,q8_v2_indexed.result,q9.result,q9_v2.result,q9_v3_join.result,q10.result,q10_v2_indexed.result,q11.result,q12.result
54.821,88.047,4.534,8.815,8.610,8.163,8.634,58.635,57.192,70.890,9934.859 ,56.844,1103.167 ,5268.946 ,13.838,51035.297 ,134440.517 ,646.415,9.536
53.705,89.783,4.205,8.948,8.767,8.215,8.383,58.596,59.674,59.588,9355.706 ,59.997,1081.257 ,5165.110 ,14.609,50894.223 ,122958.425 ,636.081,9.234
53.602,87.048,4.485,9.236,8.415,8.452,8.020,56.434,61.908,59.020,10343.298 ,57.062,1154.096 ,5445.740 ,14.433,50032.423 ,122796.477 ,644.584,9.824
54.785,82.003,4.541,9.020,9.607,9.094,7.687,60.984,61.140,56.256,9425.351 ,57.331,1098.922 ,5393.993 ,13.842,50033.072 ,121806.511 ,641.123,9.352
53.820,81.191,4.124,9.308,8.741,7.197,7.313,59.123,59.278,56.092,9315.417 ,56.997,1089.940 ,5124.092 ,14.679,50372.922 ,122459.253 ,633.445,9.925
52.582,87.246,4.378,8.980,8.912,8.102,8.124,61.470,56.726,56.164,10148.639 ,56.637,1102.925 ,5173.378 ,14.182,50481.928 ,122257.240 ,639.789,9.194
52.052,81.248,4.114,8.568,9.404,7.270,7.739,58.512,61.132,54.820,9917.626 ,56.811,1096.869 ,4944.883 ,14.476,50486.504 ,123836.856 ,662.437,9.464
52.858,82.670,4.198,8.918,12.186,7.988,7.503,60.871,60.362,59.477,9146.761 ,56.746,1089.312 ,5210.246 ,15.891,50495.122 ,130820.959 ,699.943,10.186
52.669,82.253,4.192,8.512,9.303,8.783,7.724,61.799,60.598,54.378,10381.284 ,57.073,1102.387 ,4898.549 ,14.541,50604.573 ,152083.974 ,672.215,10.829
52.884,81.959,4.255,9.040,9.241,7.815,7.504,62.648,60.779,57.382,11412.368 ,57.090,1084.708 ,4756.798 ,14.953,50630.541 ,150819.498 ,694.634,10.158
52.899,81.490,4.271,8.776,9.650,8.233,7.527,63.517,55.452,58.762,9808.450 ,56.213,1084.284 ,4639.191 ,13.980,50239.950 ,152328.847 ,674.423,9.527
51.860,83.186,4.455,8.866,9.440,7.828,7.724,59.647,59.267,58.804,9580.896 ,56.668,1094.026 ,4557.363 ,19.447,50497.983 ,151765.579 ,661.517,9.771
57.276,82.339,4.162,9.136,9.377,7.612,8.433,62.011,60.235,55.851,9693.277 ,56.692,1101.556 ,4758.833 ,14.247,50322.111 ,150870.030 ,662.592,10.135
52.076,81.036,4.407,8.653,8.658,7.711,7.115,61.820,55.912,55.108,12001.158 ,57.036,1087.209 ,4613.760 ,15.974,50410.876 ,150837.872 ,687.912,11.344
52.269,81.604,5.567,8.974,9.636,7.600,8.074,58.950,57.369,58.738,12345.083 ,55.935,1095.834 ,4619.861 ,14.618,50525.301 ,150152.143 ,641.621,9.382
53.133,82.537,4.529,8.771,9.518,6.974,7.524,59.402,59.064,55.586,10308.548 ,59.097,1092.195 ,4585.584 ,12.963,50650.889 ,149960.805 ,638.643,9.534
51.979,80.579,4.215,9.306,9.677,7.607,7.647,57.155,55.761,57.976,10297.910 ,56.613,1076.925 ,4757.230 ,14.439,50308.810 ,151106.361 ,635.680,9.655
52.286,83.993,4.317,8.891,8.773,7.582,7.964,60.044,60.036,59.082,10648.561 ,56.151,1099.470 ,4573.898 ,13.859,50253.164 ,150931.360 ,643.318,9.475
51.915,81.145,4.346,8.993,8.581,8.527,7.419,61.582,60.402,55.875,12620.451 ,56.678,1087.839 ,5114.815 ,15.454,50477.486 ,149619.562 ,638.706,9.759
53.011,82.960,4.204,8.401,9.000,7.952,7.763,59.513,60.258,55.644,11013.298 ,56.805,1082.849 ,4660.456 ,13.516,50463.617 ,150134.222 ,637.372,9.107
53.630,105.444,4.387,8.711,9.061,7.415,7.934,64.101,58.804,55.352,9510.711 ,57.273,1130.584 ,5024.542 ,13.504,50527.185 ,148419.230 ,641.353,9.915
53.037,99.818,4.312,8.996,8.728,9.147,8.087,59.383,58.583,56.308,9025.020 ,56.910,1135.268 ,4852.097 ,14.710,50445.912 ,150108.215 ,694.927,9.706
52.767,100.904,4.135,8.751,9.179,7.759,8.204,59.872,56.833,59.779,9275.697 ,56.969,1125.787 ,5118.527 ,14.017,50315.308 ,144902.686 ,631.307,9.731
52.729,100.966,4.208,8.863,8.617,7.383,8.175,60.384,60.571,55.662,9187.691 ,57.723,1173.397 ,4825.817 ,14.329,50364.133 ,150703.253 ,659.277,10.345
52.399,94.220,4.257,8.928,8.601,8.144,7.600,62.381,57.948,55.808,9646.333 ,61.539,1206.787 ,4952.739 ,13.738,50877.740 ,152760.328 ,696.183,10.643
53.040,83.570,4.441,8.856,9.086,7.560,7.743,61.851,56.565,54.375,9210.413 ,57.808,1177.925 ,4761.055 ,13.920,50530.209 ,146559.167 ,687.188,9.714
