Q1:_A.result,Q1:_A_inlined_where.result,Q1:_A_inlined_where_tailored.result,Q1:_A_rel_tailored.result,Q1:_rel_A.result,Q1:_rel_A_inlined_where.result,Q2:_Case2.result,Q2:_Case2_inlined.result,Q3.result,Q3_inline.result,Q4:_A.result,Q4:_A_inlined.result,Q4:_B.result,Q4:_B_inlined.result,Q4:_C.result,Q4:_C_inlined.result,Q4:_D.result,Q4:_D_inlined.result,Q5:_Average.result,Q5:_Average_inlined.result,Q6:Start-End_max.result,Q6:Start-End_max_tailored.result,Q7.result,Q8.result,Q8_cross.result,Q8_tailored.result,Q8_tailored_nocasematch.result,Q8_tailored_v2.result,Q9.result,Q9_inlined_where.result,Q10.result,Q10_inlined_where.result,Q11.result,Q11_inlined_where.result,Q11_inlined_where_v2.result,Q11_tailored.result,Q12.result
58,54,63,97,122,107,56,92,24,24,32,29,25,24,30,28,24,23,75,72,271,102,27,154,160,2710,2723,3168,35,36,244,173,176,602,1140,627,25
69,54,64,85,117,81,69,55,32,23,38,30,25,24,30,27,26,30,73,69,207,115,27,149,158,2649,2564,3190,36,36,237,145,243,605,1248,616,24
63,61,63,87,122,82,56,56,28,24,31,31,26,24,29,29,24,23,72,73,236,108,29,156,157,2657,2578,3145,36,35,232,135,183,697,1234,550,25
55,59,63,90,123,81,68,61,24,24,30,30,25,26,33,36,24,23,76,73,205,115,27,151,160,2642,2590,3169,36,36,261,138,174,645,1313,595,31
57,52,62,95,130,80,57,61,24,24,29,30,24,33,35,27,34,23,73,74,217,115,27,151,163,2575,2605,3171,38,35,242,157,204,562,1183,598,25
52,52,64,96,122,79,62,59,27,24,29,41,30,24,29,28,27,22,75,73,237,117,26,150,163,2579,2577,3126,35,36,221,145,188,712,1114,531,24
54,52,64,94,106,79,61,64,24,24,32,30,26,24,30,28,25,27,74,76,204,121,27,152,163,2650,2561,3049,35,36,239,146,235,585,1263,601,25
63,57,63,84,127,78,71,59,24,27,38,32,25,26,29,31,23,26,75,71,210,111,27,168,182,2618,2565,3182,37,36,238,136,184,573,1120,684,26
57,60,67,89,121,78,58,66,30,34,31,30,26,23,29,30,24,27,78,70,206,104,27,153,165,2537,2563,3322,35,38,213,140,170,574,1034,648,26
54,52,63,86,106,82,74,59,24,31,31,35,32,28,29,27,26,22,78,74,270,112,31,152,161,2537,2634,3602,38,35,228,157,203,587,1161,554,26
57,52,65,97,115,81,57,57,24,24,29,30,32,24,30,36,28,23,72,71,201,129,28,155,164,2578,2570,3104,35,36,224,141,169,631,1300,600,24
56,50,62,89,124,82,56,53,23,24,34,30,25,25,31,27,24,23,71,68,226,105,27,147,166,2595,2608,3043,36,34,201,141,182,588,1302,615,24
53,51,65,85,102,82,64,55,24,25,30,30,25,25,28,29,23,24,74,73,231,124,27,146,166,2695,2612,3068,36,36,226,145,239,568,1199,598,26
79,53,64,85,136,79,56,66,26,23,29,44,28,24,30,30,35,28,84,71,206,108,27,151,163,2605,2761,3050,40,40,221,148,198,632,1271,579,24
55,63,71,84,124,82,64,64,24,24,31,34,25,25,29,28,22,24,80,70,248,125,33,143,166,2563,2606,3060,35,36,205,150,183,598,1191,624,26
49,55,63,86,104,86,54,75,23,25,37,31,29,32,30,27,23,23,75,75,204,119,27,167,179,2556,2579,3110,35,37,230,147,220,565,1454,613,24
55,53,62,86,118,83,66,54,24,25,31,30,27,25,38,27,23,23,74,72,244,106,29,154,155,2605,2613,3106,40,35,241,148,180,584,1506,572,24
52,52,66,85,118,80,55,62,23,24,38,35,26,41,29,29,23,25,69,76,202,113,27,149,156,2635,2527,3099,35,36,193,154,194,633,1329,604,29
56,54,64,85,131,80,63,53,26,26,31,31,25,26,30,35,28,32,77,70,236,109,28,147,161,2627,2549,3166,39,40,219,184,212,549,1506,634,34
52,53,66,85,100,90,55,56,24,24,36,38,33,28,31,27,23,25,75,70,206,112,27,150,184,2606,2591,3299,36,36,220,165,209,609,1133,768,24
49,65,64,102,114,81,62,52,25,23,30,30,25,33,37,31,23,23,71,76,244,130,27,147,176,2619,2679,3044,36,37,189,154,180,573,1229,585,26
52,52,81,96,132,99,56,64,23,23,31,35,25,25,30,27,26,23,74,76,214,115,27,154,183,2560,2589,3073,36,34,199,172,171,597,1503,621,23
55,54,80,84,101,80,63,65,23,27,30,31,25,24,30,33,25,23,73,72,211,140,27,149,166,2618,2572,3053,36,36,221,163,205,620,1419,612,25
54,55,64,85,118,79,58,57,24,31,44,35,25,26,29,27,24,30,69,77,233,104,26,163,186,2708,2562,3074,40,36,198,167,183,618,1520,611,24
70,53,63,87,134,83,61,53,24,26,33,30,30,23,36,28,25,23,74,79,208,114,26,148,165,2896,2643,3050,35,35,235,145,175,610,1257,602,24
61,71,65,89,101,79,59,69,23,28,31,31,27,28,32,27,37,23,75,76,287,109,27,148,168,2749,2687,3127,37,36,225,195,209,594,1570,613,26
52,58,62,93,117,85,67,51,24,23,30,31,26,25,33,28,24,23,70,83,207,112,26,155,164,2610,2596,3061,37,35,194,150,195,599,1310,525,23
53,55,63,93,119,82,60,56,29,24,34,38,24,24,31,30,24,23,73,83,225,111,31,147,169,2634,2640,3063,38,35,228,150,179,589,1503,551,23
52,52,75,84,115,84,55,52,23,24,31,33,30,26,29,27,24,23,71,82,202,103,28,150,165,2658,2551,3080,36,38,224,192,179,601,1630,624,33
69,54,62,89,114,97,58,64,23,24,30,31,31,24,30,28,23,24,69,76,229,109,26,154,171,2574,2572,3101,36,36,216,144,229,594,1560,582,23
53,52,63,86,120,90,61,54,23,26,31,30,25,24,30,28,30,23,72,82,239,102,26,155,167,2737,2612,3264,35,36,230,145,199,550,1616,549,23
